Category Label,Category ID
Arts and Entertainment,4d4b7104d754a06370d81259
Amusement Parks,4bf58dd8d48988d182941735
Attractions,5109983191d435c0d71c2bb1
Aquariums,4fceea171983d5d06c3e9823
Arcades,4bf58dd8d48988d1e1931735
Art Galleries,4bf58dd8d48988d1e2931735
Bingo Centers,63be6904847c3692a84b9b20
Bowling Alleys,4bf58dd8d48988d1e4931735
Carnivals,63be6904847c3692a84b9b21
Casinos,4bf58dd8d48988d17c941735
Circuses,52e81612bcbc57f1066b79e7
Comedy Clubs,4bf58dd8d48988d18e941735
Country Clubs,63be6904847c3692a84b9b22
Country Dance Clubs,52e81612bcbc57f1066b79ef
Dance Halls,63be6904847c3692a84b9b23
Disc Golf Courses,63be6904847c3692a84b9c03
Disc Golfs,52e81612bcbc57f1066b79e8
Escape Rooms,5f2c2834b6d05514c704451e
Exhibits,56aa371be4b08b9a8d573532
Fairs,4eb1daf44b900d56c88a4600
Gaming Cafes,4bf58dd8d48988d18d941735
Go Kart Tracks,52e81612bcbc57f1066b79ea
Internet Cafes,4bf58dd8d48988d1f0941735
Karaoke Boxes,5744ccdfe4b0c0459246b4bb
Laser Tag Centers,52e81612bcbc57f1066b79e6
Mini Golf Courses,52e81612bcbc57f1066b79eb
Movie Theaters,4bf58dd8d48988d17f941735
Drive-in Theaters,56aa371be4b08b9a8d5734de
Indie Movie Theaters,4bf58dd8d48988d17e941735
Museums,4bf58dd8d48988d181941735
Art Museums,4bf58dd8d48988d18f941735
Erotic Museums,559acbe0498e472f1a53fa23
History Museums,4bf58dd8d48988d190941735
Science Museums,4bf58dd8d48988d191941735
Night Clubs,4bf58dd8d48988d11f941735
Pachinko Parlors,5744ccdfe4b0c0459246b4b8
Party Centers,63be6904847c3692a84b9b24
Performing Arts Venues,4bf58dd8d48988d1f2931735
Amphitheaters,56aa371be4b08b9a8d5734db
Concert Halls,5032792091d4c4b30a586d5c
Indie Theaters,4bf58dd8d48988d135941735
Music Venues,4bf58dd8d48988d1e5931735
Jazz and Blues Venues,4bf58dd8d48988d1e7931735
Rock Clubs,4bf58dd8d48988d1e9931735
Opera Houses,4bf58dd8d48988d136941735
Theaters,4bf58dd8d48988d137941735
Planetariums,4bf58dd8d48988d192941735
Pool Halls,4bf58dd8d48988d1e3931735
Psychics and Astrologers,52f2ab2ebcbc57f1066b8b43
Public Art,507c8c4091d498d9fc8c67a9
Outdoor Sculptures,52e81612bcbc57f1066b79ed
Street Arts,52e81612bcbc57f1066b79ee
Roller Rinks,52e81612bcbc57f1066b79e9
Salsa Clubs,52e81612bcbc57f1066b79ec
Samba Schools,56aa371be4b08b9a8d5734f9
Stadiums,4bf58dd8d48988d184941735
Baseball Stadiums,4bf58dd8d48988d18c941735
Basketball Stadiums,4bf58dd8d48988d18b941735
Football Stadiums,4bf58dd8d48988d189941735
Hockey Stadiums,4bf58dd8d48988d185941735
Rugby Stadiums,56aa371be4b08b9a8d573556
Soccer Stadiums,4bf58dd8d48988d188941735
Tennis Stadiums,4e39a891bd410d7aed40cbc2
Track Stadiums,4bf58dd8d48988d187941735
Strip Clubs,4bf58dd8d48988d1d6941735
Ticket Sellers,63be6904847c3692a84b9b25
VR Cafes,5f2c14a5b6d05514c7042eb7
Water Parks,4bf58dd8d48988d193941735
Zoos,4bf58dd8d48988d17b941735
Zoo Exhibits,58daa1558bbb0b01f18ec1fd
Business and Professional Services,4d4b7105d754a06375d81259
Advertising Agencies,52e81612bcbc57f1066b7a3d
Agriculture and Forestry Services,63be6904847c3692a84b9b26
Appraisers,63be6904847c3692a84b9b27
Architecture Firms,5fac002599ce226e27fe72e5
Art Restoration Services,63be6904847c3692a84b9b28
Art Studios,58daa1558bbb0b01f18ec1d6
Audiovisual Services,63be6904847c3692a84b9b29
Auditoriums,4bf58dd8d48988d173941735
Automation and Control Systems,63be6904847c3692a84b9b2a
Automotive Services,63be6904847c3692a84b9b2b
Automotive Repair Shops,52f2ab2ebcbc57f1066b8b44
Car Washes and Details,4f04ae1f2fb6e1c99f3db0ba
Motorcycle Repair Shops,63be6904847c3692a84b9b2c
Oil Change Services,63be6904847c3692a84b9b2d
Smog Check Shops,63be6904847c3692a84b9b2e
Tire Repair Shops,63be6904847c3692a84b9b2f
Towing Services,63be6904847c3692a84b9b30
Transmissions Shops,63be6904847c3692a84b9b31
Vehicle Inspection Stations,5f2c1e0db6d05514c70436d4
Ballrooms,56aa371be4b08b9a8d5734cf
Business Centers,56aa371be4b08b9a8d573517
Business Services,5453de49498eade8af355881
Career Counselors,63be6904847c3692a84b9b33
Chemicals and Gasses Manufacturers,63be6904847c3692a84b9b34
Child Care Services,5744ccdfe4b0c0459246b4c7
Daycares,4f4532974b9074f6e4fb0104
Computer Repair Services,63be6904847c3692a84b9b35
Construction,63be6904847c3692a84b9b36
Convention Centers,4bf58dd8d48988d1ff931735
Conference Rooms,4bf58dd8d48988d100941735
Creative Services,63be6904847c3692a84b9b37
Design Studios,4bf58dd8d48988d1f4941735
Direct Mail and Email Marketing Services,63be6904847c3692a84b9b38
Distribution Centers,52e81612bcbc57f1066b7a37
Electrical Equipment Suppliers,63be6904847c3692a84b9b39
Employment Agencies,52f2ab2ebcbc57f1066b8b57
Engineers,63be6904847c3692a84b9b3a
Entertainment Agencies,63be6904847c3692a84b9b3b
Entertainment Services,56aa371be4b08b9a8d573554
Equipment Rental Services,63be6904847c3692a84b9b3c
Event Services,5454152e498ef71e2b9132c6
Event Spaces,4bf58dd8d48988d171941735
Factories,4eb1bea83b7b6f98df247e06
Film Studios,56aa371be4b08b9a8d573523
Financial Services,63be6904847c3692a84b9b3d
Accounting and Bookkeeping Services,63be6904847c3692a84b9b3e
Banking and Finances,63be6904847c3692a84b9b3f
ATMs,52f2ab2ebcbc57f1066b8b56
Banks,4bf58dd8d48988d10a951735
Credit Unions,5032850891d4c4b30a586d62
Business Brokers,63be6904847c3692a84b9b40
Check Cashing Services,52f2ab2ebcbc57f1066b8b2d
Collections Services,63be6904847c3692a84b9b41
Credit Counseling and Bankruptcy Services,63be6904847c3692a84b9b42
Currency Exchanges,5744ccdfe4b0c0459246b4be
Financial Planners,63be6904847c3692a84b9b43
Loans Agencies,63be6904847c3692a84b9b44
Stock Brokers,63be6904847c3692a84b9b45
Food and Beverage Services,56aa371be4b08b9a8d573550
Caterers,63be6904847c3692a84b9b46
Food Distribution Centers,63be6904847c3692a84b9b47
Funeral Homes,4f4534884b9074f6e4fb0174
Geological Services,63be6904847c3692a84b9b48
Health and Beauty Services,54541900498ea6ccd0202697
Barbershops,63be6904847c3692a84b9b49
Bath Houses,52e81612bcbc57f1066b7a27
Body Piercing Shops,52f2ab2ebcbc57f1066b8b20
Dry Cleaners,52f2ab2ebcbc57f1066b8b1d
Hair Removal Services,63be6904847c3692a84b9b4a
Hair Salons,4bf58dd8d48988d110951735
Massage Clinics,52f2ab2ebcbc57f1066b8b3c
Nail Salons,4f04aa0c2fb6e1c99f3db0b8
Skin Care Clinics,63be6904847c3692a84b9b4b
Spas,4bf58dd8d48988d1ed941735
Tanning Salons,4d1cf8421a97d635ce361c31
Tattoo Parlors,4bf58dd8d48988d1de931735
Home Improvement Services,63be6904847c3692a84b9b58
Bathroom Contractors,63be6904847c3692a84b9b4c
Carpenters,63be6904847c3692a84b9b4d
Carpet and Flooring Contractors,63be6904847c3692a84b9b4e
Chimney Sweeps,63be6904847c3692a84b9b4f
Deck and Patio Contractors,63be6904847c3692a84b9b50
Doors and Windows Contractors,63be6904847c3692a84b9b51
Electricians,63be6904847c3692a84b9b52
Fence Contractors,63be6904847c3692a84b9b53
Garage Door Suppliers,63be6904847c3692a84b9b54
General Contractors,63be6904847c3692a84b9b55
"Heating, Ventilating and Air Conditioning Contractors",63be6904847c3692a84b9b56
Home Inspections,63be6904847c3692a84b9b57
Home Services,545419b1498ea6ccd0202f58
Interior Designers,63be6904847c3692a84b9b59
Kitchen Remodelers,63be6904847c3692a84b9b5a
Landscaper and Gardeners,63be6904847c3692a84b9b5b
Movers,63be6904847c3692a84b9b5c
Painters,63be6904847c3692a84b9b5d
Pest Control Services,63be6904847c3692a84b9b5e
Plumbers,63be6904847c3692a84b9b5f
Professional Cleaning Services,63be6904847c3692a84b9b60
Roofers,63be6904847c3692a84b9b61
Sewer Contractors,63be6904847c3692a84b9b62
Swimming Pool Maintenance and Services,63be6904847c3692a84b9b63
Tree Services,63be6904847c3692a84b9b64
Upholstery Services,63be6904847c3692a84b9b65
Human Resources Agencies,63be6904847c3692a84b9b66
Import and Export Services,63be6904847c3692a84b9b67
Industrial Equipment Suppliers,63be6904847c3692a84b9b68
Industrial Estates,56aa371be4b08b9a8d5734d7
Insurance Agencies,58daa1558bbb0b01f18ec1f1
Laboratories,63be6904847c3692a84b9b69
Laundromats,52f2ab2ebcbc57f1066b8b33
Laundry Services,4bf58dd8d48988d1fc941735
Leather Suppliers,63be6904847c3692a84b9b6a
Legal Services,63be6904847c3692a84b9b6b
Immigration Attorneys,63be6904847c3692a84b9b6c
Law Offices,52f2ab2ebcbc57f1066b8b3f
Notaries,5ae95d208a6f17002ce792b2
Locksmiths,52f2ab2ebcbc57f1066b8b1e
Logging Services,63be6904847c3692a84b9b6d
Lottery Retailers,52f2ab2ebcbc57f1066b8b38
Machine Shops,63be6904847c3692a84b9b6e
Management Consultants,63be6904847c3692a84b9b6f
Manufacturers,63be6904847c3692a84b9b70
Market Research and Consulting,63be6904847c3692a84b9b71
Media Agencies,63be6904847c3692a84b9b72
Metals Suppliers,63be6904847c3692a84b9b73
Mobile Companies,63be6904847c3692a84b9b74
Offices,4bf58dd8d48988d124941735
Business and Strategy Consulting Offices,63be6904847c3692a84b9b32
Campaign Offices,5032764e91d4c4b30a586d5a
Corporate Amenities,5665ef1d498ec706735f0e59
Corporate Cafeterias,54f4ba06498e2cf5561da814
Corporate Coffee Shops,5665c7b9498e7d8a4f2c0f06
Corporate Housing Agencies,63be6904847c3692a84b9b75
Coworking Spaces,4bf58dd8d48988d174941735
Meeting Rooms,4bf58dd8d48988d127941735
Office Buildings,63be6904847c3692a84b9b76
Tech Startups,4bf58dd8d48988d125941735
Online Advertising,63be6904847c3692a84b9b77
Outdoor Event Spaces,56aa371be4b08b9a8d57356a
Paper Suppliers,63be6904847c3692a84b9b78
Pet Services,5032897c91d4c4b30a586d69
Pet Grooming Services,63be6904847c3692a84b9b79
Pet Sitting and Boarding Services,63be6904847c3692a84b9b7a
Petroleum Suppliers,63be6904847c3692a84b9b7b
Photography Services,63be6904847c3692a84b9b7d
Photographers,63be6904847c3692a84b9b7c
Photography Labs,4eb1bdde3b7b55596b4a7490
Photography Studios,554a5e17498efabeda6cc559
Plastics Suppliers,63be6904847c3692a84b9b7e
Power Plants,58daa1548bbb0b01f18ec1a9
"Print, TV, Radio and Outdoor Advertising",63be6904847c3692a84b9b7f
Promotional Items,63be6904847c3692a84b9b80
Public Relations Firms,63be6904847c3692a84b9b81
Publishers,63be6904847c3692a84b9b82
Radio Stations,5032856091d4c4b30a586d63
Real Estate Services,63be6904847c3692a84b9b83
Building and Land Surveyors,63be6904847c3692a84b9b84
Commercial Real Estate Developers,63be6904847c3692a84b9b85
Property Management Offices,63be6904847c3692a84b9b86
Real Estate Agencies,5032885091d4c4b30a586d66
Real Estate Appraisers,63be6904847c3692a84b9b87
Real Estate Development and Title Companies,63be6904847c3692a84b9b88
Recording Studios,52f2ab2ebcbc57f1066b8b37
Recycling Facilities,4f4531084b9074f6e4fb0101
Refrigeration and Ice Suppliers,63be6904847c3692a84b9b89
Renewable Energy Services,63be6904847c3692a84b9b8a
Rental Services,56aa371be4b08b9a8d573552
Repair Services,52f2ab2ebcbc57f1066b8b2f
Research Laboratories,5744ccdfe4b0c0459246b4d6
Research Stations,58daa1558bbb0b01f18ec1b2
Rubber Suppliers,63be6904847c3692a84b9b8b
Salvage Yards,63be6904847c3692a84b9b8c
Scientific Equipment Suppliers,63be6904847c3692a84b9b8d
Search Engine Marketing and Optimization,63be6904847c3692a84b9b8e
Security and Safety,63be6904847c3692a84b9b8f
"Shipping, Freight, and Material Transportation Services",52f2ab2ebcbc57f1066b8b1f
Shoe Repair Services,52f2ab2ebcbc57f1066b8b39
Storage Facilities,4f04b1572fb6e1c99f3db0bf
Tailors,5032781d91d4c4b30a586d5b
Technology Business,63be6904847c3692a84b9b90
IT Services,52f2ab2ebcbc57f1066b8b36
Software Companies,63be6904847c3692a84b9b91
Website Designers,63be6904847c3692a84b9b92
Telecommunication Services,63be6904847c3692a84b9b93
Translation Services,63be6904847c3692a84b9b94
Tutoring Services,63be6904847c3692a84b9b95
TV Stations,52e81612bcbc57f1066b7a31
Warehouses,52e81612bcbc57f1066b7a36
Waste Management Services,58daa1558bbb0b01f18ec1ac
Water Treatment Services,63be6904847c3692a84b9b96
Wedding Halls,56aa371be4b08b9a8d5734c5
Welding Services,63be6904847c3692a84b9b97
Wholesalers,63be6904847c3692a84b9b98
"Writing, Copywriting and Technical Writing",63be6904847c3692a84b9b99
Communities and Government,63be6904847c3692a84b9b9a
Addiction Treatment Centers,63be6904847c3692a84b9b9b
Animal Shelters,4e52d2d203646f7c19daa8ae
Assisted Living,5032891291d4c4b30a586d68
Cemeteries,4bf58dd8d48988d15c941735
Community Centers,52e81612bcbc57f1066b7a34
Cultural Centers,52e81612bcbc57f1066b7a32
Disabled Persons Services,63be6904847c3692a84b9b9c
Domestic Abuse Treatment Centers,63be6904847c3692a84b9b9d
Dumps,63be6904847c3692a84b9b9e
Education,4bf58dd8d48988d13b941735
Adult Education,56aa371ce4b08b9a8d573570
Art Schools,63be6904847c3692a84b9b9f
Circus Schools,52e81612bcbc57f1066b7a43
Colleges and Universities,4d4b7105d754a06372d81259
College Academic Buildings,4bf58dd8d48988d198941735
College Administrative Buildings,4bf58dd8d48988d197941735
College Arts Buildings,4bf58dd8d48988d199941735
College Auditoriums,4bf58dd8d48988d1af941735
College Baseball Diamonds,4bf58dd8d48988d1bb941735
College Basketball Courts,4bf58dd8d48988d1ba941735
College Bookstores,4bf58dd8d48988d1b1941735
College Cafeterias,4bf58dd8d48988d1a1941735
College Classrooms,4bf58dd8d48988d1a0941735
College Communications Buildings,4bf58dd8d48988d19a941735
College Cricket Pitches,4bf58dd8d48988d1b9941735
College Engineering Buildings,4bf58dd8d48988d19e941735
College Football Fields,4bf58dd8d48988d1b8941735
College Gyms,4bf58dd8d48988d1b2941735
College History Buildings,4bf58dd8d48988d19d941735
College Hockey Rinks,4bf58dd8d48988d1b5941735
College Labs,4bf58dd8d48988d1a5941735
College Libraries,4bf58dd8d48988d1a7941735
College Math Buildings,4bf58dd8d48988d19c941735
College Quads,4bf58dd8d48988d1aa941735
College Rec Centers,4bf58dd8d48988d1a9941735
College Residence Halls,4bf58dd8d48988d1a3941735
College Science Buildings,4bf58dd8d48988d19b941735
College Soccer Fields,4bf58dd8d48988d1b7941735
College Stadiums,4bf58dd8d48988d1b4941735
College Technology Buildings,4bf58dd8d48988d19f941735
College Tennis Courts,4e39a9cebd410d7aed40cbc4
College Theaters,4bf58dd8d48988d1ac941735
College Tracks,4bf58dd8d48988d1b6941735
Community Colleges,4bf58dd8d48988d1a2941735
Fraternity Houses,4bf58dd8d48988d1b0941735
Law Schools,4bf58dd8d48988d1a6941735
Medical Schools,4bf58dd8d48988d1b3941735
Sorority Houses,4bf58dd8d48988d141941735
Student Centers,4bf58dd8d48988d1ab941735
Universities,4bf58dd8d48988d1ae941735
Computer Training Schools,63be6904847c3692a84b9ba0
Culinary Schools,58daa1558bbb0b01f18ec200
Driving Schools,52e81612bcbc57f1066b7a42
Flight Schools,52e81612bcbc57f1066b7a49
Language Schools,52e81612bcbc57f1066b7a48
Music Schools,4f04b10d2fb6e1c99f3db0be
Nursery Schools,4f4533814b9074f6e4fb0107
Preschools,52e81612bcbc57f1066b7a45
Primary and Secondary Schools,63be6904847c3692a84b9ba1
Elementary Schools,4f4533804b9074f6e4fb0105
High Schools,4bf58dd8d48988d13d941735
Middle Schools,4f4533814b9074f6e4fb0106
Private Schools,52e81612bcbc57f1066b7a46
Religious Schools,52e81612bcbc57f1066b7a47
Trade Schools,4bf58dd8d48988d1ad941735
Government Buildings,4bf58dd8d48988d126941735
Capitol Buildings,4bf58dd8d48988d12a941735
City Halls,4bf58dd8d48988d129941735
Courthouses,4bf58dd8d48988d12b941735
Embassies or Consulates,4bf58dd8d48988d12c951735
Government Departments,63be6904847c3692a84b9ba2
Law Enforcement and Public Safety,63be6904847c3692a84b9ba3
Fire Stations,4bf58dd8d48988d12c941735
Police Stations,4bf58dd8d48988d12e941735
Probation Offices,63be6904847c3692a84b9ba4
Rescue Services,63be6904847c3692a84b9ba5
Military,63be6904847c3692a84b9ba6
Military Bases,4e52adeebd41615f56317744
Post Offices,4bf58dd8d48988d172941735
Government Lobbyist,63be6904847c3692a84b9ba7
Homeless Shelters,63be6904847c3692a84b9ba8
Housing Authorities,63be6904847c3692a84b9ba9
Housing Developments,4f2a210c4b9023bd5841ed28
Libraries,4bf58dd8d48988d12f941735
Observatories,5744ccdfe4b0c0459246b4d9
Organizations,63be6904847c3692a84b9baa
Charities,63be6904847c3692a84b9bab
Club Houses,52e81612bcbc57f1066b7a35
Environmental Organizations,63be6904847c3692a84b9bac
Labor Unions,63be6904847c3692a84b9bad
LGBTQ Organizations,63be6904847c3692a84b9bae
Non-Profit Organizations,50328a8e91d4c4b30a586d6c
Social Services Organizations,63be6904847c3692a84b9baf
Veterans' Organizations,5f2c5de85b4c177b9a6de29c
Youth Organizations,63be6904847c3692a84b9bb0
Polling Places,4cae28ecbf23941eb1190695
Prisons,5310b8e5bcbc57f1066bcbf1
Public and Social Services,63be6904847c3692a84b9bb1
Public Bathrooms,5744ccdfe4b0c0459246b4c4
Rehabilitation Centers,56aa371be4b08b9a8d57351d
Residential Buildings,4e67e38e036454776db1fb3a
Apartments or Condos,4d954b06a243a5684965b473
Homes (private),4bf58dd8d48988d103941735
Retirement Homes,63be6904847c3692a84b9bb2
Senior Citizen Services,63be6904847c3692a84b9bb3
Social Clubs,52e81612bcbc57f1066b7a33
Spiritual Centers,4bf58dd8d48988d131941735
Buddhist Temples,52e81612bcbc57f1066b7a3e
Cemevis,58daa1558bbb0b01f18ec1eb
Churches,4bf58dd8d48988d132941735
Confucian Temples,56aa371be4b08b9a8d5734fc
Hindu Temples,52e81612bcbc57f1066b7a3f
Kingdom Halls,5744ccdfe4b0c0459246b4ac
Monasteries,52e81612bcbc57f1066b7a40
Mosques,4bf58dd8d48988d138941735
Prayer Rooms,52e81612bcbc57f1066b7a41
Shrines,4eb1d80a4b900d56c88a45ff
Sikh Temples,5bae9231bedf3950379f89c9
Synagogues,4bf58dd8d48988d139941735
Temples,4bf58dd8d48988d13a941735
Terreiros,56aa371be4b08b9a8d5734f6
Summer Camps,52e81612bcbc57f1066b7a10
Town Halls,52e81612bcbc57f1066b7a38
Trailer Parks,52f2ab2ebcbc57f1066b8b55
Utility Companies,63be6904847c3692a84b9bb4
Dining and Drinking,63be6904847c3692a84b9bb5
Bagel Shops,4bf58dd8d48988d179941735
Bakeries,4bf58dd8d48988d16a941735
Bars,4bf58dd8d48988d116941735
Apres Ski Bars,4bf58dd8d48988d1ea941735
Beach Bars,52e81612bcbc57f1066b7a0d
Beer Bars,56aa371ce4b08b9a8d57356c
Beer Gardens,4bf58dd8d48988d117941735
Champagne Bars,52e81612bcbc57f1066b7a0e
Cocktail Bars,4bf58dd8d48988d11e941735
